NMI,METER SERIAL NUMBER,CON/GEN,DATE,ESTIMATED?,00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 00:00
61029293722,A8395168,Generation,7/06/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033,0.108,0.056,0.006,0.35,0.001,0.001,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,8/06/2015,No,0.256,0.204,0.243,0.199,0.234,0.164,0.269,0.266,0.284,0.156,0.251,0.161,0.241,0.195,0.232,0.134,0.348,0.267,0.676,0.009,0.024,0.277,0.199,0.47,0.429,0.28,0.026,0.283,0.062,0.019,0.178,0.439,0.652,1.376,0.945,1.113,0.581,1.095,1.372,0.79,0.7,0.671,1.252,1.214,0.529,0.459,0.457,0.241
61029293722,A8395168,Generation,8/06/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.019,0.053,0.068,0.157,0.01,0.015,0.151,0.377,0.124,0.242,0.183,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,9/06/2015,No,0.159,0.155,0.178,0.167,0.171,0.127,0.182,0.168,0.244,0.146,0.224,0.151,0.243,0.575,0.751,0.544,0.392,0.342,0.106,0.069,0.002,0.013,0.019,0,0.082,0.008,0.037,0.035,0.285,0.13,0.144,0.208,0.373,0.445,0.544,0.602,0.827,0.898,1.827,1.919,1.337,0.972,0.657,0.39,0.248,0.216,0.172,0.181
61029293722,A8395168,Generation,9/06/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,0.089,0.217,0.163,0.176,0.501,0.23,0.564,0.299,0.319,0.071,0.061,0.01,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,10/06/2015,No,0.123,0.223,0.214,0.259,0.196,0.282,0.252,0.265,0.262,0.258,0.307,0.27,0.328,0.229,0.626,0.887,0.556,1.034,0.373,0.16,0.914,0.023,0,0.108,0.013,0.198,0.061,0.523,0,0.026,0.15,0.245,0.572,0.643,1.368,2.292,1.867,0.787,2.154,1.525,1.359,0.604,0.631,0.572,0.358,0.18,0.216,0.199
61029293722,A8395168,Generation,10/06/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.252,0.387,0.205,0.438,0.249,0.243,0.116,0.459,0.275,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,11/06/2015,No,0.141,0.184,0.107,0.205,0.14,0.25,0.185,0.186,0.147,0.187,0.122,0.163,0.137,0.211,1.25,0.591,0.38,0.336,0.316,0.822,0.981,0.694,0.143,0.299,0.036,0.126,0.282,0,0.5,0.042,0.075,0.385,0.459,0.732,0.722,1.936,1.437,0.863,0.863,1.222,1.165,1.76,0.765,0.863,0.293,0.192,0.196,0.16
61029293722,A8395168,Generation,11/06/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.027,0.123,0.161,0.159,0.163,0.162,0.155,0.008,0.029,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,12/06/2015,No,0.167,0.252,0.146,0.177,0.13,0.191,0.134,0.205,0.149,0.214,0.178,0.223,0.449,0.589,0.807,0.432,0.407,0.27,0.297,0.258,0.192,0.117,0.027,0.005,0,0,0,0,0,0,0.048,0.209,0.26,0.392,0.556,0.726,1.1,1.716,0.787,0.963,1.141,0.529,0.59,0.357,0.285,0.185,0.329,0.225
61029293722,A8395168,Generation,12/06/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,0.096,0.214,0.415,0.491,0.272,0.147,0.151,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,13/06/2015,No,0.149,0.22,0.146,0.181,0.12,0.183,0.118,0.21,0.126,0.218,0.151,0.279,0.51,0.542,0.496,0.561,0.582,1.151,1.105,0.417,0.124,0.039,0.061,0.072,0.013,0.147,0.019,0.013,0.011,0.077,0.235,0.472,0.652,0.921,1.25,1.66,1.038,0.828,0.948,0.795,0.858,1.374,1.42,0.902,1.254,0.904,0.408,0.26
61029293722,A8395168,Generation,13/06/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.059,0,0.039,0.168,0.017,0.179,0.406,0.387,0.13,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,14/06/2015,No,0.445,0.277,0.21,0.249,0.301,0.289,0.263,0.222,0.231,0.209,0.229,0.289,0.266,0.23,0.218,0.194,0.134,0.328,0.397,0.232,0.056,0.026,0.006,0.103,0.028,0.21,0.41,1.229,1.927,1.77,0.805,0.379,0.596,1.525,2.165,1.044,0.74,0.793,1.006,1.069,1.396,0.678,0.731,0.702,0.267,0.236,0.164,0.415
61029293722,A8395168,Generation,14/06/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099,0.096,0.163,0.007,0.129,0.054,0.007,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,15/06/2015,No,0.137,0.179,0.141,0.205,0.137,0.165,0.134,0.172,0.189,0.231,0.116,0.176,0.54,0.645,0.476,0.158,0.06,0.049,0,0.001,0,0,0,0,0,0,0,0,0,0,0.006,0.021,0.303,1.218,0.72,1.081,1.2,0.698,0.754,0.725,0.678,0.657,0.77,0.457,0.219,0.144,0.198,0.151
61029293722,A8395168,Generation,15/06/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0.13,0.208,0.488,0.723,0.938,0.64,0.436,0.473,0.373,0.343,0.223,0.072,0.001,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,16/06/2015,No,0.192,0.108,0.187,0.13,0.204,0.108,0.184,0.116,0.211,0.126,0.164,0.135,0.195,0.534,0.728,0.829,0.696,0.448,0.646,0.025,0,0.29,0.562,0.631,0.233,0.401,0.449,0.432,0.535,0.503,0.467,0.363,0.683,0.809,1.285,1.917,1.964,0.805,0.814,0.87,0.977,0.514,0.744,0.784,0.496,0.27,0.238,0.118
61029293722,A8395168,Generation,16/06/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.023,0.021,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,17/06/2015,No,0.223,0.106,0.19,0.114,0.211,0.145,0.21,0.221,0.146,0.196,0.183,0.208,0.203,0.159,0.669,0.613,0.454,0.477,0.277,0.261,0.215,0.236,0.258,0.351,0.213,0.237,0.212,0.307,0.302,0.374,0.729,0.735,1.193,0.595,1.165,1.607,1.685,0.826,0.952,1.699,0.716,1.194,0.724,0.522,0.526,0.398,0.239,0.133
61029293722,A8395168,Generation,17/06/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.057,0.044,0.02,0.019,0.002,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,18/06/2015,No,0.179,0.137,0.168,0.185,0.15,0.156,0.136,0.19,0.171,0.222,0.139,0.18,0.139,0.186,0.397,0.676,0.626,0.631,0.685,0.431,0.703,0.221,0.001,0.011,0.045,0.11,0.525,0.288,1.465,0.863,0.434,0.366,0.667,0.596,0.596,0.777,1.257,1.094,0.912,0.613,0.762,0.627,0.675,0.708,0.689,0.215,0.177,0.163
61029293722,A8395168,Generation,18/06/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.149,0.236,0.036,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
