# Version: powershare 1.0.0
datetime_utc,datetime_local,total_watt_hours_in,total_watt_hours_out
2025-10-16 05:25:00,2025-10-16 15:55:00,39516,0
2025-10-16 05:26:00,2025-10-16 15:56:00,39526,0
2025-10-16 05:27:00,2025-10-16 15:57:00,39541,0
2025-10-16 05:28:00,2025-10-16 15:58:00,39566,0
2025-10-16 05:29:00,2025-10-16 15:59:00,39600,0
2025-10-16 05:30:00,2025-10-16 16:00:00,39633,0
2025-10-16 05:31:00,2025-10-16 16:01:00,39664,0
2025-10-16 05:32:00,2025-10-16 16:02:00,39689,0
2025-10-16 05:33:00,2025-10-16 16:03:00,39707,0
2025-10-16 05:34:00,2025-10-16 16:04:00,39712,0
2025-10-16 05:35:00,2025-10-16 16:05:00,39733,0
2025-10-16 05:36:00,2025-10-16 16:06:00,39738,0
2025-10-16 05:37:00,2025-10-16 16:07:00,39743,0
2025-10-16 05:38:00,2025-10-16 16:08:00,39745,0
2025-10-16 05:39:00,2025-10-16 16:09:00,39746,0
2025-10-16 05:40:00,2025-10-16 16:10:00,39748,0
2025-10-16 05:41:00,2025-10-16 16:11:00,39750,0
2025-10-16 05:42:00,2025-10-16 16:12:00,39752,0
2025-10-16 05:43:00,2025-10-16 16:13:00,39755,0
2025-10-16 05:44:00,2025-10-16 16:14:00,39759,0
2025-10-16 05:45:00,2025-10-16 16:15:00,39762,0
2025-10-16 05:46:00,2025-10-16 16:16:00,39767,0
2025-10-16 05:47:00,2025-10-16 16:17:00,39780,0
2025-10-16 05:48:00,2025-10-16 16:18:00,39787,0
2025-10-16 05:49:00,2025-10-16 16:19:00,39792,0
2025-10-16 05:50:00,2025-10-16 16:20:00,39794,0
2025-10-16 05:51:00,2025-10-16 16:21:00,39795,0
2025-10-16 05:52:00,2025-10-16 16:22:00,39795,0
2025-10-16 05:53:00,2025-10-16 16:23:00,39796,0
2025-10-16 05:54:00,2025-10-16 16:24:00,39797,0
2025-10-16 05:55:00,2025-10-16 16:25:00,39797,0
2025-10-16 05:56:00,2025-10-16 16:26:00,39798,0
2025-10-16 05:57:00,2025-10-16 16:27:00,39799,0
2025-10-16 05:58:00,2025-10-16 16:28:00,39799,0
2025-10-16 05:59:00,2025-10-16 16:29:00,39799,0
2025-10-16 06:00:00,2025-10-16 16:30:00,39800,0
2025-10-16 06:01:00,2025-10-16 16:31:00,39802,0
2025-10-16 06:02:00,2025-10-16 16:32:00,39804,0
2025-10-16 06:03:00,2025-10-16 16:33:00,39807,0
2025-10-16 06:04:00,2025-10-16 16:34:00,39807,0
2025-10-16 06:05:00,2025-10-16 16:35:00,39808,0
2025-10-16 06:06:00,2025-10-16 16:36:00,39808,0
2025-10-16 06:07:00,2025-10-16 16:37:00,39808,0
2025-10-16 06:08:00,2025-10-16 16:38:00,39808,0
2025-10-16 06:09:00,2025-10-16 16:39:00,39811,0
2025-10-16 06:10:00,2025-10-16 16:40:00,39814,0
2025-10-16 06:11:00,2025-10-16 16:41:00,39818,0
2025-10-16 06:12:00,2025-10-16 16:42:00,39823,0
2025-10-16 06:13:00,2025-10-16 16:43:00,39829,0
2025-10-16 06:14:00,2025-10-16 16:44:00,39836,0
2025-10-16 06:15:00,2025-10-16 16:45:00,39843,0
2025-10-16 06:16:00,2025-10-16 16:46:00,39848,0
2025-10-16 06:17:00,2025-10-16 16:47:00,39852,0
2025-10-16 06:18:00,2025-10-16 16:48:00,39856,0
2025-10-16 06:19:00,2025-10-16 16:49:00,39859,0
2025-10-16 06:20:00,2025-10-16 16:50:00,39862,0
2025-10-16 06:21:00,2025-10-16 16:51:00,39863,0
2025-10-16 06:22:00,2025-10-16 16:52:00,39865,0
2025-10-16 06:23:00,2025-10-16 16:53:00,39867,0
2025-10-16 06:24:00,2025-10-16 16:54:00,39870,0
2025-10-16 06:25:00,2025-10-16 16:55:00,39874,0
2025-10-16 06:26:00,2025-10-16 16:56:00,39879,0
2025-10-16 06:27:00,2025-10-16 16:57:00,39890,0
2025-10-16 06:28:00,2025-10-16 16:58:00,39895,0
2025-10-16 06:29:00,2025-10-16 16:59:00,39899,0
2025-10-16 06:30:00,2025-10-16 17:00:00,39904,0
2025-10-16 06:31:00,2025-10-16 17:01:00,39908,0
2025-10-16 06:32:00,2025-10-16 17:02:00,39912,0
2025-10-16 06:33:00,2025-10-16 17:03:00,39916,0
2025-10-16 06:34:00,2025-10-16 17:04:00,39919,0
2025-10-16 06:35:00,2025-10-16 17:05:00,39923,0
2025-10-16 06:36:00,2025-10-16 17:06:00,39930,0
2025-10-16 06:37:00,2025-10-16 17:07:00,39945,0
2025-10-16 06:38:00,2025-10-16 17:08:00,39965,0
2025-10-16 06:39:00,2025-10-16 17:09:00,39983,0
2025-10-16 06:40:00,2025-10-16 17:10:00,39994,0
2025-10-16 06:41:00,2025-10-16 17:11:00,40006,0
2025-10-16 06:42:00,2025-10-16 17:12:00,40017,0
2025-10-16 06:43:00,2025-10-16 17:13:00,40017,0
2025-10-16 06:44:00,2025-10-16 17:14:00,40017,0
2025-10-16 06:45:00,2025-10-16 17:15:00,40017,0
2025-10-16 06:46:00,2025-10-16 17:16:00,40017,0
2025-10-16 06:47:00,2025-10-16 17:17:00,40017,0
2025-10-16 06:48:00,2025-10-16 17:18:00,40017,0
2025-10-16 06:49:00,2025-10-16 17:19:00,40018,0
2025-10-16 06:50:00,2025-10-16 17:20:00,40020,0
2025-10-16 06:51:00,2025-10-16 17:21:00,40022,0
2025-10-16 06:52:00,2025-10-16 17:22:00,40023,0
2025-10-16 06:53:00,2025-10-16 17:23:00,40024,0
2025-10-16 06:54:00,2025-10-16 17:24:00,40025,0
2025-10-16 06:55:00,2025-10-16 17:25:00,40026,0
2025-10-16 06:56:00,2025-10-16 17:26:00,40026,0
2025-10-16 06:57:00,2025-10-16 17:27:00,40027,0
2025-10-16 06:58:00,2025-10-16 17:28:00,40029,0
2025-10-16 06:59:01,2025-10-16 17:29:01,40032,0
2025-10-16 07:00:00,2025-10-16 17:30:00,40034,0
2025-10-16 07:01:00,2025-10-16 17:31:00,40038,0
2025-10-16 07:02:00,2025-10-16 17:32:00,40041,0
2025-10-16 07:03:00,2025-10-16 17:33:00,40045,0
2025-10-16 07:04:00,2025-10-16 17:34:00,40048,0
2025-10-16 07:05:00,2025-10-16 17:35:00,40051,0
2025-10-16 07:06:00,2025-10-16 17:36:00,40053,0
2025-10-16 07:07:00,2025-10-16 17:37:00,40054,0
2025-10-16 07:08:00,2025-10-16 17:38:00,40055,0
2025-10-16 07:09:00,2025-10-16 17:39:00,40059,0
2025-10-16 07:10:00,2025-10-16 17:40:00,40060,0
2025-10-16 07:11:00,2025-10-16 17:41:00,40061,0
2025-10-16 07:12:00,2025-10-16 17:42:00,40062,0
2025-10-16 07:13:00,2025-10-16 17:43:00,40062,0
2025-10-16 07:14:00,2025-10-16 17:44:00,40062,0
2025-10-16 07:15:00,2025-10-16 17:45:00,40064,0
2025-10-16 07:16:00,2025-10-16 17:46:00,40066,0
2025-10-16 07:17:00,2025-10-16 17:47:00,40069,0
2025-10-16 07:18:00,2025-10-16 17:48:00,40072,0
2025-10-16 07:19:00,2025-10-16 17:49:00,40075,0
2025-10-16 07:20:01,2025-10-16 17:50:01,40079,0
2025-10-16 07:21:00,2025-10-16 17:51:00,40082,0
2025-10-16 07:22:00,2025-10-16 17:52:00,40085,0
2025-10-16 07:23:00,2025-10-16 17:53:00,40088,0
2025-10-16 07:24:00,2025-10-16 17:54:00,40094,0
2025-10-16 07:25:00,2025-10-16 17:55:00,40098,0
2025-10-16 07:27:00,2025-10-16 17:57:00,40106,0
2025-10-16 07:28:00,2025-10-16 17:58:00,40108,0
2025-10-16 07:29:00,2025-10-16 17:59:00,40110,0
2025-10-16 07:30:01,2025-10-16 18:00:01,40139,0
2025-10-16 07:31:00,2025-10-16 18:01:00,40157,0
2025-10-16 07:32:00,2025-10-16 18:02:00,40177,0
2025-10-16 07:33:00,2025-10-16 18:03:00,40194,0
2025-10-16 07:34:00,2025-10-16 18:04:00,40199,0
2025-10-16 07:35:00,2025-10-16 18:05:00,40205,0
2025-10-16 07:36:00,2025-10-16 18:06:00,40211,0
2025-10-16 07:37:00,2025-10-16 18:07:00,40217,0
2025-10-16 07:38:00,2025-10-16 18:08:00,40226,0
2025-10-16 07:39:00,2025-10-16 18:09:00,40236,0
2025-10-16 07:40:00,2025-10-16 18:10:00,40246,0
2025-10-16 07:41:00,2025-10-16 18:11:00,40256,0
2025-10-16 07:42:00,2025-10-16 18:12:00,40266,0
2025-10-16 07:43:00,2025-10-16 18:13:00,40276,0
2025-10-16 07:44:00,2025-10-16 18:14:00,40287,0
2025-10-16 07:45:00,2025-10-16 18:15:00,40297,0
2025-10-16 07:46:00,2025-10-16 18:16:00,40307,0
2025-10-16 07:47:00,2025-10-16 18:17:00,40317,0
2025-10-16 07:48:00,2025-10-16 18:18:00,40327,0
2025-10-16 07:49:00,2025-10-16 18:19:00,40336,0
2025-10-16 07:50:00,2025-10-16 18:20:00,40345,0
2025-10-16 07:51:00,2025-10-16 18:21:00,40354,0
2025-10-16 07:52:00,2025-10-16 18:22:00,40363,0
2025-10-16 07:53:00,2025-10-16 18:23:00,40370,0
2025-10-16 07:54:00,2025-10-16 18:24:00,40377,0
2025-10-16 07:55:00,2025-10-16 18:25:00,40384,0
2025-10-16 07:56:00,2025-10-16 18:26:00,40393,0
2025-10-16 07:57:00,2025-10-16 18:27:00,40400,0
2025-10-16 07:58:00,2025-10-16 18:28:00,40407,0
2025-10-16 07:59:00,2025-10-16 18:29:00,40411,0
2025-10-16 08:00:00,2025-10-16 18:30:00,40416,0
2025-10-16 08:01:00,2025-10-16 18:31:00,40422,0
2025-10-16 08:02:00,2025-10-16 18:32:00,40428,0
2025-10-16 08:03:00,2025-10-16 18:33:00,40435,0
